"ds0.Instrument Unit","ds0.RunId","ds0.Barcode","ds0.Row","ds2..spotRow","ds2..spotCol","ds0.Exposure Time","ds0.Cycle","ds1.ID","js0.UniprotAccession","ds3.Median_SigmBg","ds3.Signal_Saturation"
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,1.0,5.0,124.0,"ACM1_421_433","P11229",1.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,1.0,10.0,124.0,"ACM1_421_433","P11229",0.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,1.0,25.0,124.0,"ACM1_421_433","P11229",3.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,1.0,50.0,124.0,"ACM1_421_433","P11229",11.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,1.0,100.0,124.0,"ACM1_421_433","P11229",19.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,2.0,5.0,124.0,"ATM_1972_1984","Q13315",1.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,2.0,10.0,124.0,"ATM_1972_1984","Q13315",0.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,2.0,25.0,124.0,"ATM_1972_1984","Q13315",-3.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,2.0,50.0,124.0,"ATM_1972_1984","Q13315",-2.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,2.0,100.0,124.0,"ATM_1972_1984","Q13315",-3.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,3.0,5.0,124.0,"CDN1B_151_163","P46527",0.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,3.0,10.0,124.0,"CDN1B_151_163","P46527",-2.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,3.0,25.0,124.0,"CDN1B_151_163","P46527",1.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,3.0,50.0,124.0,"CDN1B_151_163","P46527",-1.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,3.0,100.0,124.0,"CDN1B_151_163","P46527",-1.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,4.0,5.0,124.0,"FOXO3_25_37","O43524",2.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,4.0,10.0,124.0,"FOXO3_25_37","O43524",3.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,4.0,25.0,124.0,"FOXO3_25_37","O43524",9.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,4.0,50.0,124.0,"FOXO3_25_37","O43524",18.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,4.0,100.0,124.0,"FOXO3_25_37","O43524",37.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,5.0,5.0,124.0,"IKKB_686_698","O14920",-1.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,5.0,10.0,124.0,"IKKB_686_698","O14920",0.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,5.0,25.0,124.0,"IKKB_686_698","O14920",-1.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,5.0,50.0,124.0,"IKKB_686_698","O14920",-3.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,5.0,100.0,124.0,"IKKB_686_698","O14920",-7.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,6.0,5.0,124.0,"LMNA_192_204","P02545",0.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,6.0,10.0,124.0,"LMNA_192_204","P02545",1.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,6.0,25.0,124.0,"LMNA_192_204","P02545",2.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,6.0,50.0,124.0,"LMNA_192_204","P02545",4.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,6.0,100.0,124.0,"LMNA_192_204","P02545",6.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,7.0,5.0,124.0,"MYC_51_63","P01106",-1.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,7.0,10.0,124.0,"MYC_51_63","P01106",0.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,7.0,25.0,124.0,"MYC_51_63","P01106",1.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,7.0,50.0,124.0,"MYC_51_63","P01106",-2.0,0.0
